run_tag,metric,n_a,n_b,mean_a,mean_b,mean_diff,t,df,p_value,cohens_d,effect,significant
newoutcome1_00039,opposite_switch_rate,25,25,0.1975,0.1795,0.018,1.1665,39.67,0.25036300834460673,0.3299,small,False
newoutcome1_00040,mean_jump_deg,25,25,104.791,106.1387,-1.3477,-0.5117,47.73,0.6112512785809366,-0.1447,negligible,False
newoutcome1_00040,mean_jump_cos,25,25,68.5221,72.2933,-3.7712,-1.0372,47.96,0.30484601499124,-0.2934,small,False
newoutcome1_00040,opposite_switch_rate,25,25,0.1958,0.2292,-0.0333,-1.2983,47.93,0.2004081626151131,-0.3672,small,False
newoutcome1_00041,mean_jump_deg,25,25,105.8126,107.3856,-1.573,-0.6701,39.19,0.506750474177927,-0.1895,negligible,False
newoutcome1_00041,mean_jump_cos,25,25,69.7555,70.9843,-1.2288,-0.3769,37.36,0.7083565185283456,-0.1066,negligible,False
newoutcome1_00041,opposite_switch_rate,25,25,0.177,0.1865,-0.0095,-0.663,34.87,0.5116695780602524,-0.1875,negligible,False
newoutcome1_00042,mean_jump_deg,25,25,105.1604,109.0252,-3.8649,-1.5352,43.65,0.1319437256081489,-0.4342,small,False
newoutcome1_00042,mean_jump_cos,25,25,68.1482,72.7394,-4.5912,-1.2646,42.94,0.21282326844968996,-0.3577,small,False
newoutcome1_00042,opposite_switch_rate,25,25,0.1776,0.2056,-0.028,-1.2414,47.74,0.22050994242455146,-0.3511,small,False
newoutcome1_00043,mean_jump_deg,25,25,105.7207,107.8433,-2.1225,-1.303,40.51,0.19993311333132527,-0.3685,small,False
newoutcome1_00043,mean_jump_cos,25,25,69.6101,71.8295,-2.2194,-0.9693,40.94,0.33807752958983484,-0.2742,small,False
newoutcome1_00043,opposite_switch_rate,25,25,0.186,0.202,-0.016,-0.9752,44.82,0.3346908622943624,-0.2758,small,False
newoutcome1_00044,mean_jump_deg,25,25,108.3117,107.2108,1.1009,0.6443,44.14,0.5227303159005918,0.1822,negligible,False
newoutcome1_00044,mean_jump_cos,25,25,72.7238,70.4635,2.2603,0.8897,44.35,0.37844686763136026,0.2516,small,False
newoutcome1_00044,opposite_switch_rate,25,25,0.1998,0.1893,0.0105,0.6395,45.38,0.5256820962742594,0.1809,negligible,False
newoutcome1_00045,mean_jump_deg,25,25,106.1063,106.4595,-0.3532,-0.1148,47.83,0.9091028077626852,-0.0325,negligible,False
newoutcome1_00045,mean_jump_cos,25,25,69.3632,69.586,-0.2227,-0.0515,47.9,0.9591498235885841,-0.0146,negligible,False
newoutcome1_00045,opposite_switch_rate,25,25,0.1799,0.1808,-0.0009,-0.029,44.03,0.9769953776424192,-0.0082,negligible,False
newoutcome1_00046,mean_jump_deg,25,25,112.0288,103.1766,8.8523,2.5292,38.5,0.01564357941939743,0.7154,medium,True
newoutcome1_00046,mean_jump_cos,25,25,77.8905,66.0337,11.8568,2.5486,38.4,0.014932591234680161,0.7208,medium,True
newoutcome1_00046,opposite_switch_rate,25,25,0.2276,0.1619,0.0657,2.5759,41.36,0.013664282877835223,0.7286,medium,True
newoutcome1_00047,mean_jump_deg,25,25,105.1225,106.0685,-0.9459,-0.7846,47.69,0.4365679561552076,-0.2219,small,False
newoutcome1_00047,mean_jump_cos,25,25,67.3003,69.1157,-1.8154,-1.0131,47.89,0.3161155891922913,-0.2865,small,False
newoutcome1_00047,opposite_switch_rate,25,25,0.1651,0.1757,-0.0106,-0.8185,47.87,0.41714492871866415,-0.2315,small,False
