tag,git_commit,steps,n_simulations,seed,activation_check,activation_check_params,decay,decay_params,growth,growth_params,influence,influence_params,starting_values,starting_values_params
First_Hypothesis_00066,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.05},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00067,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00068,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.15},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00069,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.2},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00070,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.5},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00071,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.2}",random_starting_values,"{'low': 0, 'high': 1}"
First_Hypothesis_00072,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.01},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00073,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.02},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00074,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.05},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00075,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00076,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.15},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00077,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.2},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00078,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.5},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00079,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.1}"
First_Hypothesis_00080,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.01},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00081,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.02},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00082,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.05},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.5}"
First_Hypothesis_00083,972d0a8,50,30,42,linear_check,{},flat_decay,{'decay_rate': 0.1},flat_growth,{'growth_rate': 1},cosinus_influence,"{'amplitude': 0, 'elevation': 0.3}",random_starting_values,"{'low': 0, 'high': 0.5}"
